sub_id,task,distance,hemifield_match,mean_rt,pc,mean_il
1.0,Discrim,3.0,diff,714.983496876,0.966666666667,156.079019465
2.0,Discrim,3.0,diff,687.046299383,0.966666666667,69.8273673368
3.0,Discrim,3.0,diff,674.854140314,1.0,136.185867165
4.0,Discrim,3.0,diff,494.723850092,1.0,254.393763718
5.0,Discrim,3.0,diff,692.380073092,0.966666666667,359.673915119
6.0,Discrim,3.0,diff,548.7983495,0.9,310.074422268
7.0,Discrim,3.0,diff,649.88378552,1.0,470.972704436
8.0,Discrim,3.0,diff,851.528456013,1.0,522.979599546
9.0,Discrim,3.0,diff,810.095601499,0.933333333333,118.445036912
10.0,Discrim,3.0,diff,606.430105885,0.933333333333,401.751850427
1.0,Discrim,3.0,same,766.868573859,0.866666666667,157.91175287
2.0,Discrim,3.0,same,747.931045272,1.0,53.0233313921
3.0,Discrim,3.0,same,747.984428825,0.966666666667,137.300942723
4.0,Discrim,3.0,same,500.2342587,0.9,253.742033487
5.0,Discrim,3.0,same,722.691896729,1.0,348.609481993
6.0,Discrim,3.0,same,656.894618242,0.833333333333,388.321484231
7.0,Discrim,3.0,same,722.74199628,0.866666666667,517.074406775
8.0,Discrim,3.0,same,869.587825569,1.0,532.609108904
9.0,Discrim,3.0,same,848.627821374,1.0,118.753771294
10.0,Discrim,3.0,same,719.753545696,0.866666666667,380.441406455
1.0,Discrim,5.0,diff,748.317752052,0.966666666667,148.500661449
2.0,Discrim,5.0,diff,693.561452322,1.0,67.3658253196
3.0,Discrim,5.0,diff,651.744376713,0.966666666667,141.936969896
4.0,Discrim,5.0,diff,504.672894263,0.966666666667,246.809097326
5.0,Discrim,5.0,diff,695.855787651,1.0,364.050547465
6.0,Discrim,5.0,diff,657.432475373,0.866666666667,345.957089279
7.0,Discrim,5.0,diff,664.272146851,0.966666666667,467.306924409
8.0,Discrim,5.0,diff,900.506449611,1.0,523.872725229
9.0,Discrim,5.0,diff,693.817894583,1.0,130.457599975
10.0,Discrim,5.0,diff,607.76860339,0.966666666667,379.069019723
1.0,Discrim,5.0,same,727.773776335,0.966666666667,168.532436914
2.0,Discrim,5.0,same,730.123038951,0.933333333333,63.415775717
3.0,Discrim,5.0,same,710.45822505,0.966666666667,133.685247706
4.0,Discrim,5.0,same,571.467773388,0.9,244.988895764
5.0,Discrim,5.0,same,739.142187116,0.933333333333,375.724697964
6.0,Discrim,5.0,same,714.882778486,0.933333333333,424.322582048
7.0,Discrim,5.0,same,729.39870656,1.0,510.112011339
8.0,Discrim,5.0,same,834.529394196,1.0,528.856248092
9.0,Discrim,5.0,same,758.461490504,1.0,125.275026012
10.0,Discrim,5.0,same,670.396333115,0.966666666667,357.834123979
1.0,Discrim,7.0,diff,741.826690661,0.966666666667,172.139329949
2.0,Discrim,7.0,diff,723.695808687,0.966666666667,60.626649875
3.0,Discrim,7.0,diff,736.853790967,0.933333333333,134.280809915
4.0,Discrim,7.0,diff,523.358519358,0.933333333333,248.737689099
5.0,Discrim,7.0,diff,701.544966851,0.966666666667,376.976204553
6.0,Discrim,7.0,diff,595.646728455,0.933333333333,346.252160156
7.0,Discrim,7.0,diff,678.921085986,1.0,510.500228107
8.0,Discrim,7.0,diff,829.549601626,1.0,540.612477239
9.0,Discrim,7.0,diff,804.628439353,0.9,117.646032521
10.0,Discrim,7.0,diff,608.990754599,0.966666666667,370.619415639
1.0,Discrim,7.0,same,845.163733338,1.0,155.550809599
2.0,Discrim,7.0,same,752.639758285,0.966666666667,69.5105272234
3.0,Discrim,7.0,same,749.878380425,1.0,144.892910778
4.0,Discrim,7.0,same,615.21637106,0.933333333333,260.082567832
5.0,Discrim,7.0,same,674.821321511,0.966666666667,347.997191384
6.0,Discrim,7.0,same,599.975798043,0.966666666667,380.643068565
7.0,Discrim,7.0,same,744.302083044,0.966666666667,523.940874197
8.0,Discrim,7.0,same,833.606006689,1.0,466.959453092
9.0,Discrim,7.0,same,731.107881291,1.0,124.52238493
10.0,Discrim,7.0,same,630.926328075,1.0,435.30429765
1.0,Detect,3.0,diff,594.288110788,1.0,195.751426635
2.0,Detect,3.0,diff,510.61216878,1.0,44.6653097736
3.0,Detect,3.0,diff,483.571476981,1.0,162.446395575
4.0,Detect,3.0,diff,447.018697495,1.0,234.009036385
5.0,Detect,3.0,diff,544.159171525,1.0,307.066971593
6.0,Detect,3.0,diff,431.284699991,1.0,169.146826159
7.0,Detect,3.0,diff,469.313959665,1.0,346.765998475
8.0,Detect,3.0,diff,599.207631221,0.966666666667,417.833218028
9.0,Detect,3.0,diff,457.360417584,1.0,97.7444849077
10.0,Detect,3.0,diff,425.638526073,1.0,281.202583378
1.0,Detect,3.0,same,625.503208794,1.0,200.275746046
2.0,Detect,3.0,same,510.573804599,1.0,61.2983571683
3.0,Detect,3.0,same,498.91347837,1.0,182.186666961
4.0,Detect,3.0,same,448.337377848,1.0,237.935536501
5.0,Detect,3.0,same,584.896985864,1.0,346.247349625
