sub_id,task,distance,hemifield_match,mean_rt,pc,mean_il
6.0,Detect,3.0,same,427.169738281,0.966666666667,191.409867765
7.0,Detect,3.0,same,499.570958282,1.0,355.508532121
8.0,Detect,3.0,same,591.197410739,1.0,403.860686803
9.0,Detect,3.0,same,543.335423702,1.0,98.2266533492
10.0,Detect,3.0,same,442.894151817,1.0,296.468815545
1.0,Detect,5.0,diff,641.083703502,0.966666666667,221.10343125
2.0,Detect,5.0,diff,500.519802966,1.0,46.3596037095
3.0,Detect,5.0,diff,508.271797399,1.0,180.601032498
4.0,Detect,5.0,diff,441.377552905,1.0,234.345669664
5.0,Detect,5.0,diff,566.248591696,1.0,329.277647634
6.0,Detect,5.0,diff,426.916120461,0.966666666667,167.433786814
7.0,Detect,5.0,diff,487.532656214,1.0,370.521468534
8.0,Detect,5.0,diff,615.549046354,1.0,386.830734925
9.0,Detect,5.0,diff,492.468008489,1.0,107.789082221
10.0,Detect,5.0,diff,415.642647801,1.0,257.102496027
1.0,Detect,5.0,same,601.338588341,1.0,178.854168096
2.0,Detect,5.0,same,515.3441555,0.966666666667,48.2926116842
3.0,Detect,5.0,same,471.855025501,1.0,179.409818404
4.0,Detect,5.0,same,431.772106969,1.0,225.716531209
5.0,Detect,5.0,same,557.059801496,1.0,338.809510969
6.0,Detect,5.0,same,432.219715956,1.0,196.73659295
7.0,Detect,5.0,same,488.054278985,0.966666666667,361.947136035
8.0,Detect,5.0,same,595.673206781,1.0,413.306235015
9.0,Detect,5.0,same,506.527268555,1.0,92.9146137917
10.0,Detect,5.0,same,423.950586263,1.0,279.677187037
1.0,Detect,7.0,diff,589.111758089,1.0,170.838678928
2.0,Detect,7.0,diff,527.229175008,1.0,54.3642819951
3.0,Detect,7.0,diff,463.588004926,1.0,175.631542239
4.0,Detect,7.0,diff,440.972851984,1.0,257.222511094
5.0,Detect,7.0,diff,561.758369898,1.0,341.394918754
6.0,Detect,7.0,diff,408.231315458,1.0,175.140459349
7.0,Detect,7.0,diff,495.887668136,1.0,380.069616028
8.0,Detect,7.0,diff,586.676386223,1.0,402.944183828
9.0,Detect,7.0,diff,504.937632882,1.0,97.8396606858
10.0,Detect,7.0,diff,411.208798393,1.0,279.411315807
1.0,Detect,7.0,same,589.309583642,1.0,194.08218467
2.0,Detect,7.0,same,477.135070401,0.966666666667,43.997477906
3.0,Detect,7.0,same,491.336361817,1.0,200.674163389
4.0,Detect,7.0,same,411.487552636,1.0,244.40796949
5.0,Detect,7.0,same,563.758319415,1.0,313.184849766
6.0,Detect,7.0,same,417.155440443,1.0,178.415962367
7.0,Detect,7.0,same,483.196619961,1.0,365.600255514
8.0,Detect,7.0,same,577.237164801,1.0,402.748250646
9.0,Detect,7.0,same,486.765392773,1.0,95.0048910712
10.0,Detect,7.0,same,426.340168713,1.0,286.726626832
