sub_id,task,distance,mean_rt,pc,mean_il
1.0,Discrim,3.0,729.181281613,0.916666666667,156.945402529
2.0,Discrim,3.0,726.161720187,0.983333333333,61.2829422802
3.0,Discrim,3.0,710.777790811,0.983333333333,136.733955151
4.0,Discrim,3.0,497.328770525,0.95,254.085049398
5.0,Discrim,3.0,707.535984911,0.983333333333,353.950932468
6.0,Discrim,3.0,600.684558496,0.866666666667,348.430825191
7.0,Discrim,3.0,683.61443865,0.933333333333,492.377066236
8.0,Discrim,3.0,860.711186296,1.0,527.794354225
9.0,Discrim,3.0,830.026060055,0.966666666667,118.60472711
10.0,Discrim,3.0,671.00524086,0.9,391.297670365
1.0,Discrim,5.0,738.225974507,0.966666666667,158.516549182
2.0,Discrim,5.0,710.445046301,0.966666666667,64.9144938326
3.0,Discrim,5.0,681.616334639,0.966666666667,137.811108801
4.0,Discrim,5.0,528.529133666,0.933333333333,245.931500145
5.0,Discrim,5.0,717.498987383,0.966666666667,369.580408228
6.0,Discrim,5.0,687.221521431,0.9,387.357726968
7.0,Discrim,5.0,696.835426706,0.983333333333,489.072222848
8.0,Discrim,5.0,867.517921903,1.0,526.36448666
9.0,Discrim,5.0,726.687519627,1.0,127.866312994
10.0,Discrim,5.0,646.115205964,0.966666666667,358.471631063
1.0,Discrim,7.0,795.276885149,0.983333333333,163.704489093
2.0,Discrim,7.0,748.082389819,0.966666666667,65.0685885492
3.0,Discrim,7.0,743.480336481,0.966666666667,139.866126159
4.0,Discrim,7.0,570.122516588,0.933333333333,254.410128466
5.0,Discrim,7.0,688.183144181,0.966666666667,362.740899838
6.0,Discrim,7.0,588.221081337,0.95,363.447614361
7.0,Discrim,7.0,701.798002501,0.983333333333,522.533981418
8.0,Discrim,7.0,842.861220683,1.0,511.048297239
9.0,Discrim,7.0,765.242426105,0.95,121.265165368
10.0,Discrim,7.0,619.958541337,0.983333333333,403.510033611
1.0,Detect,3.0,610.16019452,1.0,198.013586341
2.0,Detect,3.0,510.59331181,1.0,52.981833471
3.0,Detect,3.0,491.242477676,1.0,172.316531268
4.0,Detect,3.0,447.678037671,1.0,235.972286443
5.0,Detect,3.0,564.528078695,1.0,326.657160609
6.0,Detect,3.0,429.262091693,0.983333333333,180.089677118
7.0,Detect,3.0,484.698874216,1.0,351.06317603
8.0,Detect,3.0,587.433620296,0.983333333333,402.555099442
9.0,Detect,3.0,493.58168481,1.0,96.4282005051
10.0,Detect,3.0,434.412573062,1.0,293.72243082
1.0,Detect,5.0,613.840980463,0.983333333333,193.21604561
2.0,Detect,5.0,507.801941053,0.983333333333,47.3097262733
3.0,Detect,5.0,485.871277271,1.0,180.005425451
4.0,Detect,5.0,436.574829937,1.0,232.607578503
5.0,Detect,5.0,553.387216518,1.0,330.347901665
6.0,Detect,5.0,429.612863933,0.983333333333,182.333518747
7.0,Detect,5.0,487.7934676,0.983333333333,366.306966119
8.0,Detect,5.0,605.779565886,1.0,404.372329267
9.0,Detect,5.0,499.497638522,1.0,100.351848006
10.0,Detect,5.0,419.796617032,1.0,268.389841532
1.0,Detect,7.0,583.95473007,1.0,182.460431799
2.0,Detect,7.0,496.904467661,0.983333333333,47.4995988375
3.0,Detect,7.0,477.462183371,1.0,188.152852814
4.0,Detect,7.0,429.766310102,1.0,247.747548092
5.0,Detect,7.0,562.741395931,1.0,324.103112589
6.0,Detect,7.0,412.769006128,1.0,176.778210858
7.0,Detect,7.0,489.542144049,1.0,372.834935771
8.0,Detect,7.0,581.956775512,1.0,402.846217237
9.0,Detect,7.0,489.2345612,1.0,96.4222758785
10.0,Detect,7.0,422.30873563,1.0,283.068971319
