subj_id,rt,response,nr_targets
pilot_3,0.744025698634,1.0,1.0
pilot_3,1.06036320437,1.0,1.0
pilot_3,1.13616792982,1.0,1.0
pilot_3,0.769641097559,1.0,2.0
pilot_3,0.678587203271,1.0,1.0
pilot_3,1.01532141824,1.0,1.0
pilot_3,1.76015685718,1.0,2.0
pilot_3,0.951503493001,1.0,2.0
pilot_3,0.730878615999,1.0,1.0
pilot_3,0.928230530675,1.0,1.0
pilot_3,0.905169559326,1.0,1.0
pilot_3,0.706698315085,1.0,2.0
pilot_3,0.806539283823,1.0,1.0
pilot_3,1.49815768128,1.0,2.0
pilot_3,0.755989000416,1.0,2.0
pilot_3,0.625269045451,1.0,1.0
pilot_3,0.730086943862,1.0,2.0
pilot_3,0.651140337335,1.0,2.0
pilot_3,0.770460597238,1.0,2.0
pilot_3,1.44699418715,1.0,2.0
pilot_3,0.687585033069,1.0,2.0
pilot_3,1.10412599439,1.0,2.0
pilot_3,0.66363381156,1.0,1.0
pilot_3,0.682656855064,1.0,1.0
pilot_3,0.64913019362,1.0,2.0
pilot_3,0.91091106276,1.0,2.0
pilot_3,0.805112897317,1.0,1.0
pilot_3,0.65698204512,1.0,1.0
pilot_3,1.48133133642,1.0,2.0
pilot_3,0.756439077004,1.0,2.0
pilot_3,0.693416267848,0.0,1.0
pilot_3,0.851680416323,1.0,2.0
pilot_3,0.741365915268,1.0,2.0
pilot_3,0.853660632883,1.0,1.0
pilot_3,0.699585813411,1.0,2.0
pilot_3,0.579906243425,1.0,2.0
pilot_3,0.953225425817,1.0,1.0
pilot_3,0.927946516176,1.0,2.0
pilot_3,0.640011858628,1.0,2.0
pilot_3,0.750142324714,1.0,1.0
pilot_3,0.647648584023,1.0,1.0
pilot_3,0.91163228088,0.0,2.0
pilot_3,0.852866722784,1.0,1.0
pilot_3,0.982780360206,1.0,2.0
pilot_3,0.848793695868,1.0,1.0
pilot_3,0.655691064383,1.0,1.0
pilot_3,0.952172391984,1.0,1.0
pilot_3,0.834860911349,1.0,1.0
pilot_3,0.808812442383,1.0,2.0
pilot_3,0.719082819458,0.0,2.0
pilot_3,0.971308314805,1.0,1.0
pilot_3,0.866735941527,1.0,2.0
pilot_3,0.94669386422,1.0,1.0
pilot_3,0.917879987153,1.0,1.0
pilot_3,0.74049145967,1.0,2.0
pilot_3,0.581450827987,1.0,2.0
pilot_3,0.763820743423,1.0,1.0
pilot_3,0.910020635425,1.0,2.0
pilot_3,0.649552979481,1.0,2.0
pilot_3,0.747953068772,1.0,1.0
pilot_3,0.724398908724,1.0,1.0
pilot_3,0.804834318729,1.0,2.0
pilot_3,0.78949419739,1.0,1.0
pilot_3,0.756765210455,1.0,1.0
pilot_3,0.718771130592,1.0,2.0
pilot_3,0.5462538597,1.0,1.0
pilot_3,0.774177730837,1.0,1.0
pilot_3,0.805975029118,1.0,2.0
pilot_3,0.823341359084,1.0,1.0
pilot_3,0.828576312037,1.0,1.0
pilot_3,0.723670991889,1.0,1.0
pilot_3,0.699623357967,1.0,2.0
pilot_3,0.879462736732,1.0,1.0
pilot_3,0.712740914738,1.0,1.0
pilot_3,0.709995980771,1.0,1.0
pilot_3,0.829880993371,1.0,2.0
pilot_3,0.766713265783,1.0,1.0
pilot_3,1.38351898263,1.0,2.0
pilot_3,0.777937964906,1.0,2.0
pilot_3,0.793814633405,1.0,1.0
pilot_3,1.00049806838,1.0,1.0
pilot_3,0.770821536116,1.0,1.0
pilot_3,0.758323420792,1.0,1.0
pilot_3,0.65772496206,1.0,2.0
pilot_3,0.802781218898,1.0,1.0
pilot_3,0.71160405664,1.0,1.0
pilot_3,0.726984296141,0.0,1.0
pilot_3,0.913069935201,1.0,1.0
pilot_3,1.14676783806,1.0,1.0
pilot_3,1.62766787935,1.0,2.0
pilot_3,0.983311231463,1.0,2.0
pilot_3,0.958593327403,1.0,2.0
pilot_3,0.913688249017,1.0,1.0
pilot_3,0.915024475009,1.0,2.0
pilot_3,0.713182630287,1.0,1.0
pilot_3,0.916919123803,1.0,2.0
pilot_3,0.871494657971,1.0,2.0
pilot_3,0.880274937354,1.0,2.0
pilot_3,0.88010290501,1.0,2.0
pilot_3,0.637885061658,1.0,2.0
pilot_3,1.13666947039,0.0,1.0
pilot_3,1.22687213152,1.0,2.0
pilot_3,0.714949406363,1.0,2.0
pilot_3,0.86758607917,1.0,1.0
pilot_3,0.76699062039,1.0,1.0
pilot_3,0.659283052044,1.0,2.0
pilot_3,0.78258306122,1.0,1.0
pilot_3,0.993253574528,1.0,2.0
pilot_3,0.886690508862,1.0,2.0
pilot_3,0.627686018819,1.0,2.0
pilot_3,0.886589167356,1.0,1.0
pilot_3,0.955643509165,1.0,2.0
pilot_3,0.602495145375,0.0,1.0
pilot_3,0.879598247677,1.0,1.0
pilot_3,0.803318539694,1.0,1.0
pilot_3,0.912554135697,1.0,2.0
pilot_3,0.793635473181,1.0,2.0
pilot_3,0.601179034229,1.0,2.0
pilot_3,0.787871989283,1.0,2.0
pilot_3,0.659161671219,1.0,2.0
pilot_3,0.774034126025,1.0,2.0
pilot_3,0.661579061405,1.0,2.0
pilot_3,0.815748486966,1.0,1.0
pilot_3,0.681693016115,1.0,1.0
pilot_3,0.638763942357,1.0,1.0
pilot_3,0.914318433814,1.0,2.0
pilot_3,0.799114004121,1.0,2.0
pilot_3,0.76965249137,1.0,1.0
pilot_3,0.928797974151,1.0,1.0
pilot_3,0.547987846317,1.0,1.0
pilot_3,0.747083089102,1.0,1.0
pilot_3,0.615606924592,1.0,2.0
pilot_3,0.674692313421,0.0,2.0
pilot_3,0.658876432743,1.0,1.0
pilot_3,0.759449083427,1.0,1.0
pilot_3,0.705404250753,1.0,1.0
pilot_3,0.503188324192,1.0,2.0
pilot_3,0.743143061998,1.0,2.0
pilot_3,0.738105076975,1.0,1.0
pilot_3,0.64452064919,1.0,1.0
pilot_3,0.758283071807,1.0,2.0
pilot_3,0.651487545618,1.0,2.0
pilot_3,0.69738449449,1.0,1.0
pilot_3,0.543202478311,1.0,2.0
pilot_3,0.777576366037,1.0,1.0
pilot_3,0.699314266707,1.0,1.0
pilot_3,0.507916585138,1.0,2.0
pilot_3,0.634838945005,1.0,1.0
pilot_3,0.584035273772,1.0,1.0
pilot_3,0.777294163508,1.0,2.0
pilot_3,0.623101511976,0.0,2.0
pilot_3,0.844326280627,1.0,1.0
pilot_3,0.721305659672,1.0,2.0
pilot_3,0.671829178578,1.0,2.0
pilot_3,0.627352489959,1.0,2.0
pilot_3,0.677267252187,1.0,2.0
pilot_3,0.59763587341,1.0,2.0
pilot_3,0.62846325484,1.0,1.0
pilot_3,0.712512648497,1.0,2.0
pilot_3,0.880279557277,1.0,1.0
pilot_3,0.625911130875,1.0,1.0
pilot_3,0.635259868073,1.0,1.0
pilot_3,0.84971441388,1.0,2.0
pilot_3,0.593669711088,1.0,1.0
pilot_3,0.626152284904,1.0,1.0
pilot_3,0.569675674282,1.0,2.0
pilot_3,0.713654366869,1.0,1.0
pilot_3,0.623527142141,1.0,2.0
pilot_3,0.617681066429,1.0,1.0
pilot_3,1.04066834276,1.0,2.0
pilot_3,0.60034019122,1.0,1.0
pilot_3,0.513879659276,1.0,2.0
pilot_3,0.843230860315,1.0,1.0
pilot_3,0.473010795235,1.0,2.0
pilot_3,0.848383698622,1.0,2.0
pilot_3,0.741021382943,1.0,2.0
pilot_3,0.65941369107,1.0,2.0
pilot_3,0.505494629382,1.0,1.0
pilot_3,0.767636449753,1.0,2.0
pilot_3,0.632384619077,1.0,1.0
pilot_3,0.768286131053,1.0,2.0
pilot_3,0.655568243228,1.0,1.0
pilot_3,0.521799264483,1.0,1.0
pilot_3,0.55925807269,1.0,2.0
pilot_3,0.623886602219,0.0,2.0
pilot_3,0.744716646901,1.0,2.0
pilot_3,0.804990364513,1.0,2.0
pilot_3,1.04379488491,1.0,2.0
pilot_3,0.530053577706,1.0,1.0
pilot_3,0.556164010828,1.0,2.0
pilot_3,1.01868153372,1.0,2.0
pilot_3,0.698959069732,1.0,2.0
pilot_3,0.760619654971,1.0,2.0
pilot_3,0.527779941978,1.0,1.0
pilot_3,0.593558961735,1.0,1.0
pilot_3,0.518069327092,0.0,1.0
pilot_3,0.595722196105,1.0,2.0
pilot_3,0.981009486195,1.0,1.0
pilot_3,0.683580450204,1.0,1.0
pilot_3,0.682703540648,1.0,1.0
pilot_3,0.775560996055,0.0,1.0
pilot_3,0.9839099496,1.0,2.0
pilot_3,0.607761081817,1.0,1.0
pilot_3,1.048475147,1.0,2.0
pilot_3,0.69088922947,1.0,2.0
pilot_3,0.815781627596,1.0,2.0
pilot_3,0.849233605799,1.0,1.0
pilot_3,0.835250757751,1.0,1.0
pilot_3,0.660618612046,1.0,1.0
pilot_3,0.883864492231,1.0,1.0
pilot_3,0.609401367978,1.0,1.0
pilot_3,0.694758674093,1.0,2.0
